Metric,Mean,Std
PointPrecision,0.8245137193033125,0.005956706242148292
PointRecall,0.9065000000000001,0.0028544961285922664
PointF1,0.8635484368529205,0.0027903318491209086
ROC-AUC,0.976216074810606,0.0005263700106671383
PR_AUC,0.8810773433328232,0.0029714904802495205
FAR,0.04386363636363637,0.0018901477196779776
MDR,0.0935,0.002854496128592252
Detected,1319.4,12.32161605562445
ROC_AUC,0.976216074810606,0.0005263700106671383
PR_AUC_AP,0.8810773433328232,0.0029714904802495205
FullFAR,0.04386363636363637,0.0018901477196779776
AdjPrecision,0.8382595196826651,0.005825981842211518
AdjRecall,1.0,0.0
AdjF1,0.9120044892794705,0.003452920890446446
EventPrecision,0.7613636363636365,0.030772872744833202
EventRecall,1.0,0.0
EventF1,0.8642105263157897,0.019436732536421586
PredEventCount,11.7,0.4830458915396479
FalsePredEventCount,2.8,0.4216370213557839
MatchedEventCount,8.9,0.31622776601683794
DetectedEvents,10.0,0.0
NumEvents,10.0,0.0
DelayMeanMin,0.0,0.0
DelayMedianMin,0.0,0.0
IndependentMaxDelayMin,0.0,0.0
AlarmEpisodes,11.7,0.4830458915396479
MatchedAlarmEpisodes,8.9,0.31622776601683794
Delay,0.0,0.0
DelayDetectedOnly,0.0,0.0
Merge120EventPrecision,0.7613636363636365,0.030772872744833202
Merge120EventRecall,1.0,0.0
Merge120EventF1,0.8642105263157897,0.019436732536421586
Merge120PredEventCount,11.7,0.4830458915396479
Merge120FalsePredEventCount,2.8,0.4216370213557839
Merge120MatchedEventCount,8.9,0.31622776601683794
Merge120DelayMeanMin,0.0,0.0
Threshold,2.6523423033249225,0.07486083269646668
EvalPoints,6480.0,0.0
